Mindfulness,Wise Mind,Wise Mind
,What Skills,Observe
,,Describe
,,Participate
,How Skills,Non-Judgementally
,,One Mindfully
,,Effectively
Interpersonal Effectiveness,Interpersonal Skills,Evaluate Intensity
,,Considered Factors
,,Objective Effectiveness: <strong>DEAR MAN</strong>
,,Relationship Effectiveness: <strong>GIVE</strong>
,,Self Respect: <strong>FAST</strong>
Emotion Regulation,PLEASE Master,Treat <strong>P</strong>hysical I<strong>l</strong>lness
,,Balanced <strong>E</strong>ating
,,Avoid Mood <strong>A</strong>ltering drugs
,,Balanced <strong>S</strong>leep
,,Get <strong>E</strong>xercise
,,Build <strong>M</strong>astery
,Increase Positive Emotions,Build Positive Experiences
,,Do Pleasant Things Possible Now
,,Work Toward Goal
,,Attend Relationships
,,Avoid Avoiding
,,Mindful Positive Experiences
,,Distract from Worries
,Mindful of Current Emotion and Opposite Action,Observe Emotion
,,Experience Emotion
,,Remember I am NOT My Emotion
,,Practice Loving my Emotion
,,Opposite Action
Distress Tolerance,Distract with Wise Mind ACCEPTS,~Activities
,,~Contributing
,,~Comparisons
,,~Emotions
,,~Pushing Away
,,~Thoughts
,,~Sensations
,Accepting Reality,Observing Your Breath
,,Half Smile
,,Radical Acceptance
,,Turning the Mind
,,Willingness
,,Replace Willfulness with Willingness
,IMPROVE the Moment,~Imagery
,,~Meaning
,,~Prayer
,,~Relaxation
,,~One Thing in the Moment
,,~Vacation
,,~Encouragement
,,Thinking of the PROS and CONS
,Self Soothe Using the Five Senses,Vision
,,Hearing
,,Smell
,,Taste
,,Touch
